Nigéria,Abuja
Ghána,Accra
Etiópia,Addisz-Abeba
Algéria,Algír
Madagaszkár,Antananarivo
Eritrea,Aszmara
Mali,Bamako
Közép-afrikai Köztársaság,Bangui
Gambia,Banjul
Bissau-Guinea,Bissau
Kongói Köztársaság,Brazzaville
Burundi,Bujumbura
Guinea,Conakry
Szenegál,Dakar
Tanzánia,Dodoma
Dzsibuti,Dzsibuti
Sierra Leone,Freetown
Botswana,Gaborone
Burundi,Gitega
Zimbabwe,Harare
Dél-Szudán,Juba
Egyiptom,Kairó
Uganda,Kampala
Szudán,Kartúm
Ruanda,Kigali
Kongói Demokratikus Köztársaság,Kinshasa
Nyugat-Szahara,El-Ajún
Gabon,Libreville
Malawi,Lilongwe
Togo,Lomé
Angola,Luanda
Zambia,Lusaka
Egyenlítői-Guinea,Malabo
Mozambik,Maputo
Lesotho,Maseru
Szváziföld,Mbabane
Szomália,Mogadishu
Libéria,Monrovia
Comore-szigetek,Moroni
Kenya,Nairobi
Csád,N’Djamena
Niger,Niamey
Mauritánia,Nouakchott
Burkina Faso,Ouagadougou
Mauritius,Port Louis
Benin,Porto-Novo
Zöld-foki Köztársaság,Praia
Dél-afrikai Köztársaság,Pretoria
Marokkó,Rabat
São Tomé és Príncipe,São Tomé
Líbia,Tripoli
Tunézia,Tunisz
Seychelle-szigetek,Victoria
Namíbia,Windhoek
Elefántcsontpart,Yamoussoukro
Kamerun,Yaoundé
